#Name;Type;Download;Kategorie
Alchemistenschale;blau;alchemistenschale00_LQ.gif;magische Artefakte
Amazonensäbel;gelb;amazonensaebel00_LQ.gif;Säbel
Amazonensäbel;gelb;amazonensaebel01_LQ.gif;Säbel
Amulett;blau;amulett01_LQ.gif;Schmuck
Amulett;blau;amulett02_LQ.gif;Schmuck
Amulett;blau;amulett03_LQ.gif;Schmuck
Amulett;blau;amulett04_LQ.gif;Schmuck
Amulett;blau;amulett05_LQ.gif;Schmuck
Amulett mit Bild;blau;amulett06_LQ.gif;Schmuck
Amulett;blau;amulett07_LQ.gif;Schmuck
Anaurak;grau;anaurak00_LQ.gif;Oben
Andergaster;gelb;andergaster00_LQ.gif;Zweihandschwerter und -säbel
Andergaster;gelb;andergaster01_LQ.gif;Zweihandschwerter und -säbel
Anderthalbhänder;gelb;anderthalbhaender00_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender01_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender02_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender03_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender04_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender05_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender06_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender07_LQ.gif;Anderthalbhänder
Anderthalbhänder;gelb;anderthalbhaender08_LQ.gif;Anderthalbhänder
Arbalette;gelb;arbalette00_LQ.gif;Schusswaffen
Leichte Armbrust;gelb;armbrust_leicht00_LQ.gif;Schusswaffen
Leichte Armbrust;gelb;armbrust_leicht01_LQ.gif;Schusswaffen
Leichte Armbrust;gelb;armbrust_leicht02_LQ.gif;Schusswaffen
Windenarmbrust;gelb;armbrust_schwer00_LQ.gif;Schusswaffen
Armreif;blau;armreif00_LQ.gif;Schmuck
Armreif;blau;armreif01_LQ.gif;Schmuck
Armreif;blau;armreif02_LQ.gif;Schmuck
Armreif;blau;armreif03_LQ.gif;Schmuck
Axtgehänge;grau;axtgehaenge00_LQ.gif;Sonstiges Grau
Axtgehänge;grau;axtgehaenge01_LQ.gif;Sonstiges Grau
Axtgurt;grau;axtgurt00_LQ.gif;Sonstiges Grau
Axtgurt;grau;axtgurt01_LQ.gif;Sonstiges Grau
Ballkleid;grau;ballkleid00_LQ.gif;Oben
Barbarenstreitaxt;gelb;barbarenbstreitaxt00_LQ.gif;Zweihandhiebwaffen und -flegel
Barbarenstreitaxt;gelb;barbarenstreitaxt01_LQ.gif;Zweihandhiebwaffen und -flegel
Barbarenstreitaxt;gelb;barbarenstreitaxt02_LQ.gif;Zweihandhiebwaffen und -flegel
Barett;grau;barett00_LQ.gif;Kopfbedeckung
Basiliskenzunge;gelb;basiliskenzunge00_LQ.gif;Dolche
Basiliskenzunge;gelb;basiliskenzunge01_LQ.gif;Dolche
Basiliskenzunge;gelb;basiliskenzunge02_LQ.gif;Dolche
Basiliskenzunge;gelb;basiliskenzunge03_LQ.gif;Dolche
Bastardschwert;gelb;bastardschwert00_LQ.gif;Anderthalbhänder
Bastardschwert;gelb;bastardschwert01_LQ.gif;Anderthalbhänder
Bastardschwert;gelb;bastardschwert02_LQ.gif;Anderthalbhänder
Bastardschwert 1H;gelb;bastardschwert00_LQ.gif;Anderthalbhänder
Beschwöhrungsgewand;grau;beschwoerung00_LQ.gif;Oben
Lederbeutel fasst 20 Unzen;gruen;beutel_leder00_LQ.gif;Taschen
Lederbeutel fasst 10 Unzen;gruen;beutel_leder01_LQ.gif;Taschen
Lederbeutel fasst 15 Unzen;gruen;beutel_leder02_LQ.gif;Taschen
Leinenbeutel fasst 10 Unzen;gruen;beutel_leinen00_LQ.gif;Taschen
Blasrohr;gelb;blasrohr00_LQ.gif;Schusswaffen
Blasrohrpfeile;gelb;blasrohrpfeile00_LQ.gif;Zubehör
Blendlaterne;rot;blendlaterne00_LQ.gif;Illumination
Bluse aus Seide;grau;bluse00_LQ.gif;Oben
Bluse aus Leinen;grau;bluse01_LQ.gif;Oben
Bluse aus Samt;grau;bluse02_LQ.gif;Oben
Bluse aus Samt;grau;bluse03_LQ.gif;Oben
Bluse aus Samt;grau;bluse04_LQ.gif;Oben
Bolzen;gelb;bolzen00_LQ.gif;Zubehör
Bolzen;gelb;bolzen01_LQ.gif;Zubehör
Borndorn;gelb;borndorn00_LQ.gif;Wurfwaffen
Brabakbengel;gelb;brabakbengel00_LQ.gif;Hiebwaffen
Brecheisen;rot;brecheisen00_LQ.gif;Werkzeuge
Breitschwert;gelb;breitschwert00_LQ.gif;Schwerter
Breitschwert;gelb;breitschwert01_LQ.gif;Schwerter
Buckler;gelb;buckler00_LQ.gif;Schilde
Buckler;gelb;buckler01_LQ.gif;Schilde
Byakka;gelb;byakka00_LQ.gif;Hiebwaffen
Degen;gelb;degen00_LQ.gif;Fechtwaffen
Degen;gelb;degen01_LQ.gif;Fechtwaffen
Dolch;gelb;dolch00_LQ.gif;Dolche
Dolch;gelb;dolch01_LQ.gif;Dolche
Dolch;gelb;dolch02_LQ.gif;Dolche
Dolch;gelb;dolch03_LQ.gif;Dolche
Dolch;gelb;dolch04_LQ.gif;Dolche
Dolch;gelb;dolch05_LQ.gif;Dolche
Dolch;gelb;dolch06_LQ.gif;Dolche
Dolch;gelb;dolch07_LQ.gif;Dolche
Schwerer Dolch;gelb;dolch_schwer00_LQ.gif;Dolche
Schwerer Dolch;gelb;dolch_schwer01_LQ.gif;Dolche
Schwerer Dolch;gelb;dolch_schwer02_LQ.gif;Dolche
Schwerer Dolch;gelb;dolch_schwer03_LQ.gif;Dolche
Schwerer Dolch;gelb;dolch_schwer04_LQ.gif;Dolche
Vulkanglasdolch;gelb;dolch_vulkanglas00_LQ.gif;Dolche
Drachenei;blau;drachenei00_LQ.gif;magische Artefakte
Drachenhelm;gelb;drachenhelm00_LQ.gif;Helme
Drachenhelm;gelb;drachenhelm01_LQ.gif;Helme
Drakoniterstab;gelb;draconiterstab00_LQ.gif;Speere und Stäbe
Dreschflegel;gelb;dreschflegel00_LQ.gif;Zweihandhiebwaffen und -flegel
Dschadra;gelb;dschadra00_LQ.gif;Speere und Stäbe
Duftwasser 3 Flux;gruen;duftwasser00_LQ.gif;Flaschen
Efferdbart;gelb;efferdbart00_LQ.gif;Speere und Stäbe
Vierblättrige Einbeere;rot;einbeere00_LQ.gif;Kräuter
Einbruchswerkzeug;rot;einbrech00_LQ.gif;Werkzeuge
Firnelfisches Eisigelflorett;gelb;eisigelflorett00_LQ.gif;Fechtwaffen
Elfenbogen;gelb;elfenbogen00_LQ.gif;Schusswaffen
Entermesser;gelb;entermesser00_LQ.gif;Säbel
Essbesteck;rot;essbesteck00_LQ.gif;Essutensilien
Pechfackeln;rot;fackeln00_LQ.gif;Illumination
Feldflasche 1 Maß;gruen;feldflasche00_LQ.gif;Flaschen
Felsspalter;gelb;felsspalter00_LQ.gif;Zweihandhiebwaffen und -flegel
Felsspalter;gelb;felsspalter01_LQ.gif;Zweihandhiebwaffen und -flegel
Felsspalter;gelb;felsspalter02_LQ.gif;Zweihandhiebwaffen und -flegel
Fernrohr;rot;fernrohr00_LQ.gif;Feinmechanik
Feuerstein Stahl;rot;feuerstein_stahl00_LQ.gif;Illumination
Filzhut;grau;filzhut00_LQ.gif;Kopfbedeckung
Fläschchen ½ Schank;gruen;flaeschchen00_LQ.gif;Flaschen
Fläschchen 1 Schank;gruen;flaeschchen01_LQ.gif;Flaschen
Glasflasche 2 Schank;gruen;flasche00_LQ.gif;Flaschen
Schnapsflasche 1 Schank;gruen;flasche_schnaps00_LQ.gif;Flaschen
Flöte;rot;floete00_LQ.gif;Instrumente
Florett;gelb;florett01_LQ.gif;Fechtwaffen
Florett;gelb;florett02_LQ.gif;Fechtwaffen
Gambeson;gelb;gambeson00_LQ.gif;Rüstungen
Gehrock aus Wolle;grau;gehrock00_LQ.gif;Oben
Geige;rot;geige00_LQ.gif;Instrumente
Glefe;gelb;glefe00_LQ.gif;Infanteriewaffen
Gürteltasche fasst 40 Unzen;gruen;guerteltasche00_LQ.gif;Taschen
Gürteltasche;gruen;guerteltasche01_LQ.gif;Taschen
Gürteltasche fasst 50 Unzen;gruen;guerteltasche02_LQ.gif;Taschen
Gürteltasche fasst 30 Unzen;gruen;guerteltasche03_LQ.gif;Taschen
Gürteltasche fasst 50 Unzen;gruen;guerteltasche04_LQ.gif;Taschen
Gürteltasche fasst 50 Unzen;gruen;guerteltasche05_LQ.gif;Taschen
Gürteltasche fasst 60 Unzen;gruen;guerteltasche08_LQ.gif;Taschen
Gürteltasche fasst 50 Unzen;gruen;guerteltasche09_LQ.gif;Taschen
Gugel;grau;gugel00_LQ.gif;Kopfbedeckung
Haken;rot;haken00_LQ.gif;Werkzeuge
Beil;gelb;handbeil00_LQ.gif;Hiebwaffen
Lederhandschuhe;grau;handschuhe_leder00_LQ.gif;Handschuhe
Lederhandschuhe;grau;handschuhe_leder01_LQ.gif;Handschuhe
Lederhandschuhe;grau;handschuhe_leder02_LQ.gif;Handschuhe
Stulpenhandschuhe;grau;handschuhe_stulpen00_LQ.gif;Handschuhe
Haumesser;gelb;haumesser00_LQ.gif;Hiebwaffen
Heilkräuter;gruen;heilkraeuter00_LQ.gif;Taschen
Heilkräuter Groß;gruen;heilkraeuter01_LQ.gif;Taschen
Hellebarde;gelb;hellebarde00_LQ.gif;Infanteriewaffen
Hellebarde;gelb;hellebarde01_LQ.gif;Infanteriewaffen
Leinenhemd;grau;hemd_leinen00_LQ.gif;Oben
Leinenhemd;grau;hemd_leinen01_LQ.gif;Oben
Seidenhemd;grau;hemd_seide00_LQ.gif;Oben
Seidenhemd;grau;hemd_seide01_LQ.gif;Oben
Hemd aus Seide;grau;hemd_seide02_LQ.gif;Oben
Hemd - Wams;grau;hemd_wams00_LQ.gif;Oben
Hemd - Weste;grau;hemd_weste00_LQ.gif;Oben
Hemd aus Wolle;grau;hemd_wolle00_LQ.gif;Oben
Hexengewand;grau;hexengewand00_LQ.gif;Oben
Holzbecher;gruen;holzbecher00_LQ.gif;Sonstiges Grün
Holzfälleraxt;gelb;holzfaelleraxt00_LQ.gif;Zweihandhiebwaffen und -flegel
Einfacher Holzschild;gelb;holzschild00_LQ.gif;Schilde
Einfacher Holzschild;gelb;holzschild01_LQ.gif;Schilde
Verstärkter Holzschild;gelb;holzschild_verstaerkt00_LQ.gif;Schilde
Verstärkter Holzschild;gelb;holzschild_verstaerkt01_LQ.gif;Schilde
Kniehose Brokat;grau;hose00_LQ.gif;Unten
Leinenhose;grau;hose01_LQ.gif;Unten
Lederhose;grau;hose02_LQ.gif;Unten
Hose;grau;hose03_LQ.gif;Unten
Hut;grau;hut01_LQ.gif;Kopfbedeckung
Iryanrüstung;gelb;iryanruestung00_LQ.gif;Rüstungen
Jacke aus Bausch;grau;jacke00_LQ.gif;Oben
Firnelfische Jacke;grau;jacke_firnelf00_LQ.gif;Oben
Jagdmesser;gelb;jagdmesser01_LQ.gif;Dolche
Kamm;rot;kamm00_LQ.gif;Körperpflege
Kampfstab;gelb;kampfstab00_LQ.gif;Speere und Stäbe
Kappe;grau;kappe01_LQ.gif;Kopfbedeckung
Kerzen;rot;kerzen00_LQ.gif;Illumination
Kettenhaube;gelb;kettenhaube00_LQ.gif;Helme
Kettenhaube;gelb;kettenhaube01_LQ.gif;Helme
Kettenhemd, lang;gelb;kettenhemd00_LQ.gif;Rüstungen
Kettenhemd;gelb;kettenhemd01_LQ.gif;Rüstungen
Kettenhemd;gelb;kettenhemd02_LQ.gif;Rüstungen
Kettenhemd, lang;gelb;kettenhemd03_LQ.gif;Rüstungen
Kettenhose;gelb;kettenhose00_LQ.gif;Rüstungen
Kettenmantel;gelb;kettenmantel00_LQ.gif;Rüstungen
Kettenmantel,_kurz;gelb;kettenmantel01_LQ.gif;Rüstungen
Kettenweste;gelb;kettenweste00_LQ.gif;Rüstungen
Keule;gelb;keule00_LQ.gif;Hiebwaffen
Khunchomer;gelb;khunchumer00_LQ.gif;Säbel
Kleid;grau;kleid00_LQ.gif;Oben
Kleid kurz;grau;kleid01_LQ.gif;Oben
