W;Achfawar;;Speere und Stäbe											;1W+4;13/4;-1/0;0;4;S;;Speere;
W;Dreigliederstab;;Kettenstäbe											;1W+2;13/4;1/1;2;3;HN;z;Kettenstäbe;
W;Elemer Säbel;;Säbel													;1W+4;12/3;0/0;0;3;N;;Säbel;
W;Hauswehr;;Säbel														;1W+3;12/4;0/0;1;2;N;;Säbel;Schwerter;
W;Hornissenstachel;;Kettenwaffen										;1W+3;14/2;-1/-2;-1;3;N;;Kettenwaffen;
W;Hummerschere;;Waffenlos												;1W+2;12/4;0/-1;-1;4;H;;Raufen;
W;Kentema;;Speere und Stäbe												;1W+7;14/4;0/0;0;3;NS;;Bastardstäbe;
W;Kentema[einhändig];;Speere und Stäbe									;1W+5;14/4;0/0;0;3;NS;;Bastardstäbe;
W;Kettenkugel;;Kettenwaffen												;3W+0;16/2;-2/-4;-3;2;S;;Kettenwaffen;
W;Knochenkeule, groß;;Zweihandhiebwaffen und -flegel					;2W+2;14/2;-1/-3;-2;2;N;;Zweihandhiebwaffen;
W;Knochenkeule, klein;;Hiebwaffen										;1W+2;11/4;-1/-1;0;4;N;;Hiebwaffen;
W;Knochenkeule, mittelgroß;;Hiebwaffen									;1W+3;11/3;0/-1;0;3;N;;Hiebwaffen;
W;Kophta-Szepter;;Hiebwaffen											;1W+3;12/3;-1/-1;0;1;N;;Hiebwaffen;
W;Kriegsfächer;;Waffenlos												;1W+2;12/5;0/1;0;3;H;;Hiebwaffen;
W;Kriegsfächer (Dornen);;Waffenlos										;1W+2;12/5;0/1;0;1;H;;Hiebwaffen;
W;Kriegsfächer (Vollmetall);;Waffenlos									;1W+2;12/5;0/1;0;1;H;;Hiebwaffen;
W;Linkhand;linkhand00_LQ.gif;Dolche										;1W+1;12/5;0/1;0;0;H;;Dolche;
W;Linkhand mit Klingenfänger;linkhand00_LQ.gif;Dolche					;1W+1;12/5;0/1;0;0;H;;Dolche;
W;Linkhand und Klingenbrecher;linkhand00_LQ.gif;Dolche					;1W+1;12/5;0/1;0;0;H;;Dolche;
W;Palta;;Speere und Stäbe												;1W+5;12/4;0/-2;-1;5;S;;Speere;Säbel;
W;Reißer (Gezahnte Axt);;Zweihandhiebwaffen und -flegel					;2W+4;13/3;0/-2;0;4;NS;;Zweihandhiebwaffen;
W;Runaskraja;;Hiebwaffe													;1W+3;11/3;0/0;0;4;N;;Hiebwaffen;Dolche;
W;Schwertlanze;;Speere und Stäbe										;1W+6;13/4;-1/-1;-2;3;NS;;Bastardstäbe;
W;Sichelschwert;;Schwerter												;1W+4;11/4;0/0;1;2;N;;Schwerter;
W;Skorpionstachel;;Kettenwaffen											;1W+4;15/1;-1/-3;-1;2;N;;Kettenwaffen;
W;Steinbeil;;Hiebwaffen													;1W+4;13/2;0/-1;-1;5;N;;Hiebwaffen;
W;Steinernes Beil;;Hiebwaffen											;1W+3;11/4;-1/-2;-1;6;N;;Hiebwaffen;
W;Steinmesser;;Dolche													;1W+1;12/6;-2/-3;-2;6;H;;Dolche;
W;Sägefischschwert;;Schwerter											;1W+2;12/3;-2/1;-1;5;N;;Schwerter;


W;Bastardschwert;bastardschwert00_LQ.gif;Anderthalbhänder               ;1W+5;11/3;0/-1;0;2;NS;z;Anderthalbhänder;
W;Bastardschwert[einhändig];bastardschwert00_LQ.gif;Anderthalbhänder    ;1W+5;12/4;0/-1;-1;2;N;;Schwerter;
W;Nachtwind;;Anderthalbhänder          				                    ;1W+4;11/5;0/0;2;0;N;z;Anderthalbhänder;Schwerter;
W;Nachtwind[einhändig];;Anderthalbhänder                                ;1W+4;11/5;0/0;2;0;N;;Schwerter;
W;Rondrakamm;rondrakamm00_LQ.gif;Anderthalbhänder                       ;2W+2;12/3;0/0;0;1;NS;z;Anderthalbhänder;Zweihandschwerter;
W;Tuzakmesser;tuzakmesser00_LQ.gif;Anderthalbhänder                     ;1W+6;12/4;0/0;1;1;NS;z;Anderthalbhänder;Zweihandschwerter;
W;Basiliskenzunge;basiliskenzunge00_LQ.gif;Dolche                       ;1W+2;12/4;0/-1;-1;4;H;;Dolche;
W;Dolch;dolch00_LQ.gif;Dolche                                           ;1W+1;12/5;0/-1;0;2;H;;Dolche;
W;Drachenzahn;;Dolche   			                                    ;1W+2;11/4;0/0;0;0;H;;Dolche;
W;Eberfänger;;Dolche                			                        ;1W+2;12/4;0/-1;0;1;H;;Dolche;
W;Jagdmesser;jagdmesser00_LQ.gif;Dolche                                 ;1W+2;12/5;0/-2;-1;3;H;;Dolche;
W;Langdolch;langdolch00_LQ.gif;Dolche                                   ;1W+2;12/4;0/0;0;1;H;;Dolche;Fechtwaffen;
W;Mengbilar;mengbillar00_LQ.gif;Dolche                                  ;1W+1;12/5;0/-3;-2;7;H;;Dolche;
W;Messer;messer00_LQ.gif;Dolche                                         ;1W;12/6;-2/-3;-2;4;H;;Dolche;
W;Ogerfänger;;Dolche                                        ;1W+2;12/4;0/-2;0;4;H;;Dolche;
W;Scheibendolch;;Dolche                                     ;1W+2;11/4;0/-3;0;0;H;;Dolche;
W;Schwerer Dolch;dolch_schwer00_LQ.gif;Dolche                           ;1W+2;12/4;0/-1;0;1;H;;Dolche;
W;Vulkanglasdolch;dolch_vulkanglas00_LQ.gif;Dolche                      ;1W-1;12/5;-2/-3;-2;6;H;;Dolche;
W;Waqqif;waqqif00_LQ.gif;Dolche                                         ;1W+2;12/5;-1/-3;-2;2;H;;Dolche;Säbel;
W;Degen;degen00_LQ.gif;Fechtwaffen                                      ;1W+3;12/5;0/-1;2;3;N;;Fechtwaffen;
W;Firnelfisches Eisigelflorett;eisigelflorett00_LQ.gif;Fechtwaffen      ;1W+3;12/5;1/-1;3;4;N;;Fechtwaffen;
W;Florett;florett00_LQ.gif;Fechtwaffen                                  ;1W+3;12/5;1/-1;3;4;N;;Fechtwaffen;
W;Magierdegen;;Fechtwaffen                                  ;1W+2;13/5;0/-2;1;4;N;;Fechtwaffen;
W;Rapier;rapier00_LQ.gif;Fechtwaffen                                    ;1W+3;12/4;0/0;1;2;N;;Fechtwaffen;Schwerter;
W;Stockdegen;stockdegen00_LQ.gif;Fechtwaffen                            ;1W+3;12/5;-1/-3;0;4;N;;Fechtwaffen;
W;Wolfsmesser;wolfsmesser00_LQ.gif;Fechtwaffen                          ;1W+3;12/4;0/0;1;1;N;;Fechtwaffen;Säbel;Schwerter;
W;Beil;handbeil00_LQ.gif;Hiebwaffen                                     ;1W+3;11/4;-1/-2;-1;5;N;;Hiebwaffen;
W;Brabakbengel;brabakbengel00_LQ.gif;Hiebwaffen                         ;1W+5;13/3;0/-1;0;1;N;;Hiebwaffen;
